lei,year,application_count,approval_count,denial_count,approval_rate,denial_rate,du_share,lpa_share,internal_aus_share,other_aus_share,external_aus_coverage,external_aus_coverage_alt_any_aus_reported,cert,rssd,entity,type,insure,name,assets,assetl,org,assorg,namet,state,fore,valid_fdic_cert,asset,astempm,bkclass,esal,id,nclnlsr,nonixay,numemp,rbc1aaj,roa,specgrp,stalp,matched_fdic_financials
2549007NTZZX7VJJPB03,2023,936,919,17,0.9818376068376068,0.018162393162393164,0.19444444444444445,0.018162393162393164,0.0,0.7873931623931624,0.2126068376068376,0.2136752136752137,19559.0,232856.0,232856.0,10.0,7.0,TEXASBANK,2217361.0,1715530.0,4126225.0,2217361.0,TEXASBANK,48.0,NMB,True,2218905.0,7.758409090909091,NM,32530.0,19559_20231231,0.7153069714218793,2.3957071575572195,286.0,10.84525396591928,1.858206260748923,4.0,TX,True
2549007NTZZX7VJJPB03,2024,872,856,16,0.981651376146789,0.01834862385321101,0.22706422018348624,0.022935779816513763,0.0,0.75,0.25,0.2522935779816514,19559.0,232856.0,232856.0,10.0,7.0,TEXASBANK,2545401.0,2217361.0,4126225.0,2545401.0,TEXASBANK,48.0,NMB,True,2545401.0,7.856175925925926,NM,34618.0,19559_20241231,0.2377990821054674,2.3509941033341373,324.0,10.9265354082848,1.741219498623212,4.0,TX,True
2549007NTZZX7VJJPB03,2025,615,605,10,0.983739837398374,0.016260162601626018,0.2861788617886179,0.00975609756097561,0.0,0.7040650406504065,0.2959349593495935,0.29593495934959346,19559.0,232856.0,232856.0,10.0,7.0,TEXASBANK,2389217.0,2545401.0,4126225.0,2389217.0,TEXASBANK,48.0,NMB,True,2389217.0,6.618329639889197,NM,41108.0,19559_20251231,1.784751442528948,2.70355659829941,361.0,12.297697941378225,1.7938215568631055,4.0,TX,True
2549008TT6UNYR7AXF54,2023,1318,1274,44,0.9666160849772383,0.03338391502276176,0.644916540212443,0.3535660091047041,0.0,0.0015174506828528073,0.9984825493171472,0.9984825493171472,4767.0,474759.0,474759.0,10.0,7.0,SUNFLOWER BK NA,7865286.0,7415263.0,1066713.0,7879724.0,"SUNFLOWER BANK, N.A.",48.0,NAT,True,7865286.0,7.137283121597096,N,130530.0,4767_20231231,1.0135085966385438,2.8548376189943143,1102.0,11.053634720850551,1.4318518882480864,4.0,TX,True
2549008TT6UNYR7AXF54,2024,1483,1444,39,0.973701955495617,0.026298044504383007,0.7174645987862441,0.2805124747134187,0.0,0.0020229265003371545,0.9979770734996629,0.9986513823331086,4767.0,474759.0,474759.0,10.0,7.0,SUNFLOWER BK NA,8085206.0,7865286.0,1066713.0,8097387.0,"SUNFLOWER BANK, N.A.",48.0,NAT,True,8085206.0,7.244808243727599,N,152243.0,4767_20241231,1.0825260919930502,3.2221702970167776,1116.0,11.685543162032234,1.064985545252942,4.0,TX,True
2549008TT6UNYR7AXF54,2025,1713,1677,36,0.978984238178634,0.021015761821366025,0.6363105662580268,0.3607705779334501,0.0,0.002918855808523059,0.9970811441914769,0.997081144191477,4767.0,474759.0,474759.0,10.0,7.0,SUNFLOWER BK NA,8473383.0,8085206.0,1066713.0,8485162.0,"SUNFLOWER BANK, N.A.",48.0,NAT,True,8473383.0,7.279538659793814,N,167967.0,4767_20251231,0.9071530720421088,3.176604402647759,1164.0,12.377808146630104,1.2852519142708465,4.0,TX,True
254900DTLB5WWMBJAD86,2023,570,556,14,0.9754385964912281,0.02456140350877193,0.7964912280701755,0.05263157894736842,0.0,0.15087719298245614,0.8491228070175438,0.8491228070175438,12517.0,806846.0,806846.0,10.0,7.0,BANK FIVE NINE,1967245.0,1675982.0,2320618.0,1967245.0,BANK FIVE NINE,55.0,NMB,True,1967245.0,6.186305031446541,NM,34165.0,12517_20231231,0.2805616224648986,2.966746996110196,318.0,9.465425735680032,0.659549354717493,4.0,WI,True
254900DTLB5WWMBJAD86,2024,808,788,20,0.9752475247524752,0.024752475247524754,0.7524752475247525,0.10272277227722772,0.0,0.1448019801980198,0.8551980198019802,0.8551980198019802,12517.0,806846.0,806846.0,10.0,7.0,BANK FIVE NINE,2293836.0,1967245.0,2320618.0,2293836.0,BANK FIVE NINE,55.0,NMB,True,2293836.0,6.847271641791045,NM,38410.0,12517_20241231,0.7862769771817256,2.876253063191004,335.0,8.66268069258482,0.8321799403203354,4.0,WI,True
254900DTLB5WWMBJAD86,2025,829,816,13,0.9843184559710495,0.015681544028950542,0.3425814234016888,0.5452352231604343,0.0,0.11218335343787696,0.8878166465621231,0.887816646562123,12517.0,806846.0,806846.0,10.0,7.0,BANK FIVE NINE,2666805.0,2293836.0,2320618.0,2666805.0,BANK FIVE NINE,55.0,NMB,True,2666805.0,7.774941690962098,NM,41955.0,12517_20251231,0.8866033261183617,2.6390281170250494,343.0,9.086951904922923,0.9593598294514004,4.0,WI,True
254900HA4DQWAE0W3342,2023,1845,1655,190,0.8970189701897019,0.10298102981029811,0.5544715447154471,0.4205962059620596,0.0,0.024932249322493227,0.9750677506775067,0.9750677506775067,57512.0,3871751.0,3138146.0,11.0,7.0,WESTERN ALLI BK,70852671.0,67683841.0,2349815.0,70916482.0,"AMERIHOME MORTGAGE COMPANY, LL",4.0,SMB,True,70852671.0,21.41210970081596,SM,549478.0,57512_20231231,1.6666762681984109,2.4099171690060364,3309.0,8.855161996432956,0.992152406779267,4.0,AZ,True
